trip_id,arrival_time,departure_time,stop_id,stop_sequence
L252001_F_1,06:00:00,06:00:00,ZAAMOUCHE,1
L252001_F_1,06:15:48,06:15:48,EL_MERIDJ,2
L252001_B_1,06:00:00,06:00:00,EL_MERIDJ,1
L252001_B_1,06:15:48,06:15:48,ZAAMOUCHE,2
L252001_F_2,06:15:00,06:15:00,ZAAMOUCHE,1
L252001_F_2,06:30:48,06:30:48,EL_MERIDJ,2
L252001_B_2,06:15:00,06:15:00,EL_MERIDJ,1
L252001_B_2,06:30:48,06:30:48,ZAAMOUCHE,2
L252001_F_3,06:30:00,06:30:00,ZAAMOUCHE,1
L252001_F_3,06:45:48,06:45:48,EL_MERIDJ,2
L252001_B_3,06:30:00,06:30:00,EL_MERIDJ,1
L252001_B_3,06:45:48,06:45:48,ZAAMOUCHE,2
L252001_F_4,06:45:00,06:45:00,ZAAMOUCHE,1
L252001_F_4,07:00:48,07:00:48,EL_MERIDJ,2
L252001_B_4,06:45:00,06:45:00,EL_MERIDJ,1
L252001_B_4,07:00:48,07:00:48,ZAAMOUCHE,2
L252001_F_5,07:00:00,07:00:00,ZAAMOUCHE,1
L252001_F_5,07:15:48,07:15:48,EL_MERIDJ,2
L252001_B_5,07:00:00,07:00:00,EL_MERIDJ,1
L252001_B_5,07:15:48,07:15:48,ZAAMOUCHE,2
L252001_F_6,07:15:00,07:15:00,ZAAMOUCHE,1
L252001_F_6,07:30:48,07:30:48,EL_MERIDJ,2
L252001_B_6,07:15:00,07:15:00,EL_MERIDJ,1
L252001_B_6,07:30:48,07:30:48,ZAAMOUCHE,2
L252001_F_7,07:30:00,07:30:00,ZAAMOUCHE,1
L252001_F_7,07:45:48,07:45:48,EL_MERIDJ,2
L252001_B_7,07:30:00,07:30:00,EL_MERIDJ,1
L252001_B_7,07:45:48,07:45:48,ZAAMOUCHE,2
L252001_F_8,07:45:00,07:45:00,ZAAMOUCHE,1
L252001_F_8,08:00:48,08:00:48,EL_MERIDJ,2
L252001_B_8,07:45:00,07:45:00,EL_MERIDJ,1
L252001_B_8,08:00:48,08:00:48,ZAAMOUCHE,2
L252001_F_9,08:00:00,08:00:00,ZAAMOUCHE,1
L252001_F_9,08:15:48,08:15:48,EL_MERIDJ,2
L252001_B_9,08:00:00,08:00:00,EL_MERIDJ,1
L252001_B_9,08:15:48,08:15:48,ZAAMOUCHE,2
L252001_F_10,08:15:00,08:15:00,ZAAMOUCHE,1
L252001_F_10,08:30:48,08:30:48,EL_MERIDJ,2
L252001_B_10,08:15:00,08:15:00,EL_MERIDJ,1
L252001_B_10,08:30:48,08:30:48,ZAAMOUCHE,2
L252001_F_11,08:30:00,08:30:00,ZAAMOUCHE,1
L252001_F_11,08:45:48,08:45:48,EL_MERIDJ,2
L252001_B_11,08:30:00,08:30:00,EL_MERIDJ,1
L252001_B_11,08:45:48,08:45:48,ZAAMOUCHE,2
L252001_F_12,08:45:00,08:45:00,ZAAMOUCHE,1
L252001_F_12,09:00:48,09:00:48,EL_MERIDJ,2
L252001_B_12,08:45:00,08:45:00,EL_MERIDJ,1
L252001_B_12,09:00:48,09:00:48,ZAAMOUCHE,2
L252001_F_13,09:00:00,09:00:00,ZAAMOUCHE,1
L252001_F_13,09:15:48,09:15:48,EL_MERIDJ,2
L252001_B_13,09:00:00,09:00:00,EL_MERIDJ,1
L252001_B_13,09:15:48,09:15:48,ZAAMOUCHE,2
L252001_F_14,09:15:00,09:15:00,ZAAMOUCHE,1
L252001_F_14,09:30:48,09:30:48,EL_MERIDJ,2
L252001_B_14,09:15:00,09:15:00,EL_MERIDJ,1
L252001_B_14,09:30:48,09:30:48,ZAAMOUCHE,2
L252001_F_15,09:30:00,09:30:00,ZAAMOUCHE,1
L252001_F_15,09:45:48,09:45:48,EL_MERIDJ,2
L252001_B_15,09:30:00,09:30:00,EL_MERIDJ,1
L252001_B_15,09:45:48,09:45:48,ZAAMOUCHE,2
L252001_F_16,09:45:00,09:45:00,ZAAMOUCHE,1
L252001_F_16,10:00:48,10:00:48,EL_MERIDJ,2
L252001_B_16,09:45:00,09:45:00,EL_MERIDJ,1
L252001_B_16,10:00:48,10:00:48,ZAAMOUCHE,2
L252001_F_17,10:00:00,10:00:00,ZAAMOUCHE,1
L252001_F_17,10:15:48,10:15:48,EL_MERIDJ,2
L252001_B_17,10:00:00,10:00:00,EL_MERIDJ,1
L252001_B_17,10:15:48,10:15:48,ZAAMOUCHE,2
L252001_F_18,10:15:00,10:15:00,ZAAMOUCHE,1
L252001_F_18,10:30:48,10:30:48,EL_MERIDJ,2
L252001_B_18,10:15:00,10:15:00,EL_MERIDJ,1
