stop_id,stop_name,stop_lat,stop_lon
ZAAMOUCHE,ZAAMOUCHE,36.5663,6.7369
EL_MERIDJ,EL MERIDJ,36.4972,6.7161
ZIGHOYD_YOUCEF,ZIGHOYD YOUCEF,36.5419,6.7118
CONSTANTINE,CONSTANTINE,36.365,6.6147
AIN_ABID,AIN ABID,36.2328,6.9436
GARE_ROUTIER_EST,GARE ROUTIER EST,36.3589,6.6512
IBN_ZIAD,IBN ZIAD,36.4467,6.5921
MESSA_BOUDJAROU,MESSA BOUDJAROU,36.4312,6.6054
KHROUB,KHROUB,36.5528,6.6943
IBN_BADIS,IBN BADIS,36.3718,6.6129
OULED_RAHMOUNE,OULED RAHMOUNE,36.5061,6.6897
EL_GOURZI,EL GOURZI,36.3461,6.6208
BEN_YAGOUB,BEN YAGOUB,36.3384,6.6679
V/B_BOUDIEMAA,V/B BOUDIEMAA,36.5441,6.7032
ZIGHOUD_YOUSEF,ZIGHOUD YOUSEF,36.5419,6.7118
DIDOUCHE_MOURAD,DIDOUCHE MOURAD,36.451,6.2624
BEN_ZIAD,BEN ZIAD,36.4467,6.5921
HAMMA_BOUZIANE,HAMMA BOUZIANE,36.4214,6.6589
MESSAOUD_BOUDJE,MESSAOUD BOUDJE,36.4312,6.6054
MASSA_BOUDJAROU,MASSA BOUDJAROU,36.4096,6.6712
BENI_HAMIDENE,BENI HAMIDENE,36.4873,6.6075
BOUDRAA_SALAH,BOUDRAA SALAH,36.4718,6.5984
NOUVELLE_ALI_MENDJ,NOUVELLE ALI MENDJ,36.2701,6.5624
KADDOUR_BOUMEDDOS,KADDOUR BOUMEDDOS,36.3594,6.6298
CITE_20_OUT_55,CITE 20 OUT 55,36.3381,6.5949
5__JUILET,5  JUILET,36.3712,6.6186
KAF_SALAH,KAF SALAH,36.5534,6.7552
KITOUNI_A/MALEK,KITOUNI A/MALEK,36.3556,6.6219
BENCHERGUI,BENCHERGUI,36.3427,6.6093
AIN_SMARA,AIN SMARA,36.2669,6.6936
ELDJEBES,ELDJEBES,36.3349,6.6331
SALAH_BEY,SALAH BEY,36.3726,6.6087
SIDI_MABROUK,SIDI MABROUK,36.3532,6.6527
DJEBEL_ELOUAHCH,DJEBEL ELOUAHCH,36.3458,6.6419
